MUNICÍPIO,FEMINICIDIO,HOMICIDIO DOLOSO,HOMICÍDIO DOLOSO COM INDÍCIO DE EXCLUDENTE DE ILICITUDE,HOMICÍDIO DOLOSO NO TRÂNSITO,HOMICÍDIO OCORRIDO EM PRESÍDIO,LESAO CORPORAL SEGUIDA DE MORTE,,ROUBO COM RESULTADO MORTE - (LATROCINIO),TENTATIVA DE HOMICIDIO,ESTUPRO
CORAÇAO DE MARIA,,0,5,0,0,0,0,0,5,4
CORDEIROS,,0,0,0,0,0,0,0,0,0
CORIBE,,0,1,0,0,0,0,0,0,6
CORONEL JOAO SA,,0,1,0,0,0,0,0,2,2
CORRENTINA,,0,5,1,0,0,0,0,2,3
COTEGIPE,,0,2,0,0,0,0,0,0,0
CRAVOLANDIA,,0,0,0,0,0,0,0,0,3
CRISOPOLIS,,0,3,0,0,0,0,0,6,2
CRISTOPOLIS,,0,3,0,0,0,0,0,0,0
CRUZ DAS ALMAS,,0,4,1,0,0,0,0,3,7
CURAÇA,,1,6,0,0,0,0,0,3,4
DARIO MEIRA,,0,4,0,0,0,0,0,1,4
DIAS D AVILA,,0,57,1,0,0,0,1,20,12
DOM BASILIO,,0,0,0,0,0,0,0,1,0
DOM MACEDO COSTA,,0,0,0,0,0,0,0,1,0
ELISIO MEDRADO,,0,0,0,0,0,0,0,0,0
ENCRUZILHADA,,0,7,0,0,0,0,1,1,4
ENTRE RIOS,,0,7,0,0,0,0,0,9,8
ERICO CARDOSO,,0,0,0,0,0,0,0,1,1
ESPLANADA,,0,8,0,0,0,0,2,4,16
EUCLIDES DA CUNHA,,0,2,1,0,0,1,0,4,13
EUNAPOLIS,,0,37,0,0,0,1,2,17,13
FATIMA,,0,1,0,0,0,0,0,3,0
FEIRA DA MATA,,0,0,0,0,0,0,0,0,0
FEIRA DE SANTANA,3,277,24,0,2,5,7,96,76,
FILADELFIA,0,3,0,0,0,0,0,2,0,
FIRMINO ALVES,0,1,0,0,0,0,0,0,1,
FLORESTA AZUL,0,2,0,0,0,0,0,1,1,
FORMOSA DO RIO PRETO,0,1,0,0,0,1,0,4,4,
GANDU,0,8,0,0,0,0,0,7,10,
GAVIAO,0,0,0,0,0,0,0,1,0,
GENTIO DO OURO,0,0,0,0,0,0,0,1,1,
GLORIA,0,3,0,0,0,0,0,4,2,
GONGOGI,0,0,0,0,0,0,1,1,0,
GOVERNADOR MANGABEIRA,0,6,0,0,0,0,1,0,1,
GUAJERU,0,0,0,0,0,0,0,0,0,
GUANAMBI,1,5,0,0,0,0,0,8,10,
GUARATINGA,0,1,0,0,0,1,0,4,10,
HELIOPOLIS,0,1,0,0,0,0,0,0,0,
IAÇU,0,2,0,0,0,0,0,3,4,
IBIASSUCE,0,0,0,0,0,0,0,0,6,
IBICARAI,0,13,1,0,0,0,0,0,2,
IBICOARA,0,4,0,0,0,0,0,1,4,
IBICUI,0,7,0,0,0,0,0,2,11,
IBIPEBA,0,1,0,0,0,0,0,0,2,
IBIPITANGA,0,0,0,0,0,0,0,0,8,
IBIQUERA,0,0,0,0,0,0,0,0,0,
IBIRAPITANGA,0,7,0,0,0,0,0,5,0,
IBIRAPUA,0,2,0,0,0,0,0,4,5,
IBIRATAIA,0,1,0,0,0,0,0,7,3,
IBITIARA,0,0,0,0,0,0,0,1,1,
IBITITA,0,2,0,0,0,0,0,0,0,
IBOTIRAMA,0,11,0,0,0,0,0,4,5,
ICHU,0,0,0,0,0,0,0,1,0,
IGAPORA,0,2,0,0,0,0,0,1,1,
IGRAPIUNA,0,6,0,0,0,0,0,3,1,
IGUAI,1,17,2,0,0,1,0,2,5,
ILHEUS,2,66,0,0,0,2,1,57,48,
INHAMBUPE,0,18,0,0,0,0,0,7,8,
IPECAETA,0,3,0,0,0,0,0,4,1,
IPIAU,0,13,0,0,0,0,0,8,4,
IPIRA,,0,9,0,0,0,0,1,6,4
IPUPIARA,,0,0,0,0,0,0,0,1,0
IRAJUBA,,0,0,0,0,0,0,0,1,0
IRAMAIA,,0,2,0,0,0,0,0,0,0
IRAQUARA,,0,2,0,0,0,0,0,1,0
IRARA,,0,6,0,0,0,1,0,1,3
IRECE,,2,10,0,0,0,1,0,7,5
ITABELA,,0,11,0,0,0,0,0,10,9
ITABERABA,,0,18,0,0,0,0,1,27,13
ITABUNA,,1,59,0,0,1,0,0,29,24
ITACARE,,0,11,0,0,0,1,0,4,13
ITAETE,,0,1,0,0,0,0,0,1,1
ITAGI,,0,3,0,0,0,1,0,0,5
ITAGIBA,,0,1,0,0,0,0,0,0,6
ITAGIMIRIM,,0,2,0,0,0,0,0,0,0
ITAGUAÇU DA BAHIA,,0,0,0,0,0,0,0,2,3
ITAJU DO COLONIA,,1,6,0,0,0,0,0,0,0
ITAJUIPE,,0,5,1,0,0,0,0,0,1
ITAMARAJU,,0,30,0,0,0,0,0,17,13
ITAMARI,,0,1,0,0,0,0,0,0,1
ITAMBE,,0,2,0,0,0,0,0,4,3
ITANAGRA,,0,6,0,0,0,0,0,0,0
ITANHEM,,0,4,0,0,0,0,0,1,0
ITAPARICA,,0,11,0,0,0,0,0,9,7
ITAPE,,0,3,0,0,0,0,0,1,1
ITAPEBI,,0,1,0,0,0,0,0,1,1
ITAPETINGA,,0,14,0,0,0,1,0,14,16
ITAPICURU,,0,8,0,0,0,0,0,4,0
ITAPITANGA,,0,2,0,0,0,0,0,2,0
ITAQUARA,,0,2,0,0,0,0,0,0,0
ITARANTIM,,2,3,0,0,0,0,0,5,7
ITATIM,,0,3,0,0,0,0,0,0,0
ITIRUÇU,,0,1,0,0,0,0,0,1,2
ITIUBA,,0,5,0,0,0,0,0,11,13
ITORORO,,0,4,0,0,0,0,0,1,2
ITUAÇU,,0,1,0,0,0,0,0,1,3
ITUBERA,,0,5,0,0,0,0,0,0,0
IUIU,,0,1,0,0,0,0,0,0,0
JABORANDI,,0,0,0,0,0,0,0,0,1
JACARACI,,0,0,0,0,0,0,0,0,1
JACOBINA,,0,17,0,0,0,0,0,2,3
JAGUAQUARA,,0,2,0,0,0,0,0,1,8
JAGUARARI,,1,3,0,0,0,0,0,3,2
JAGUARIPE,,0,7,0,0,0,0,0,7,7
JANDAIRA,,0,2,0,0,0,0,0,4,10
JEQUIE,,3,27,1,0,2,0,1,18,18
JEREMOABO,,0,6,0,0,0,0,0,14,11
JIQUIRIÇA,,0,0,0,0,0,0,0,0,0
JITAUNA,,0,2,1,0,0,0,0,1,0
JOAO DOURADO,,0,3,0,0,0,0,0,4,0
JUAZEIRO,,1,68,0,0,1,1,1,44,35
JUCURUÇU,,0,0,0,0,0,0,0,1,3
JUSSARA,,0,2,0,0,0,0,0,3,1
JUSSARI,,0,4,0,0,0,0,0,0,0
JUSSIAPE,,0,0,0,0,0,0,0,0,0
LAFAIETE COUTINHO,,0,1,0,0,0,0,0,0,1
LAGOA REAL,,0,0,0,0,0,0,0,2,0
LAJE,,0,9,0,0,0,0,0,5,4
LAJEDAO,,0,2,0,0,0,0,0,1,1
LAJEDINHO,,0,0,0,0,0,0,0,1,0
LAJEDO DO TABOCAL,,0,0,0,0,0,0,0,0,1
LAMARAO,,0,2,0,0,0,0,0,0,1
LAPAO,,0,5,0,0,0,1,0,1,0
LAURO DE FREITAS,,1,59,0,0,0,0,0,21,34
LENÇOIS,,0,4,0,0,0,0,0,0,1
LICINIO DE ALMEIDA,,0,3,0,0,0,0,0,1,1
LIVRAMENTO DE NOSSA,,0,1,0,0,0,0,0,2,7
LUIS EDUARDO MAGALHAES,,2,21,0,0,0,0,0,23,10
MACAJUBA,,0,3,0,0,0,0,0,0,1
MACARANI,,0,2,0,0,0,0,0,10,9
MACAUBAS,,0,3,0,0,0,2,0,8,6
MACURURE,,0,0,0,0,0,0,0,2,0
MADRE DE DEUS,,0,2,0,0,0,0,0,7,0
MAETINGA,,0,1,0,0,0,0,0,0,0
MAIQUINIQUE,0,1,0,0,0,0,0,1,8,
MAIRI,0,9,0,0,0,0,0,1,2,
MALHADA,0,2,0,0,0,0,0,3,2,
MALHADA DE PEDRAS,0,0,0,0,0,0,0,0,1,
MANOEL VITORINO,0,2,0,0,0,0,0,3,1,
MANSIDAO,0,0,0,0,0,0,0,0,0,
MARACAS,0,2,0,0,0,0,0,0,2,
MARAGOGIPE,0,7,0,0,0,0,0,2,6,
MARAU,0,4,0,0,0,0,0,8,3,
MARCIONILIO SOUZA,0,1,0,0,0,0,0,1,0,
MASCOTE,0,5,0,0,0,0,0,1,6,
MATA DE SAO JOAO,0,24,0,0,0,1,0,9,11,
MATINA,0,0,0,0,0,0,0,0,1,
MEDEIROS NETO,0,8,0,0,0,0,0,2,1,
MIGUEL CALMON,0,14,0,0,0,0,0,6,3,
MILAGRES,0,1,0,0,0,0,0,1,0,
MIRANGABA,0,0,0,0,0,0,0,3,2,
MIRANTE,0,0,0,0,0,0,0,0,0,
MONTE SANTO,0,6,0,0,0,0,1,1,1,
MORPARA,0,0,0,0,0,0,0,1,0,
MORRO DO CHAPEU,0,9,0,0,0,0,0,6,15,
MORTUGABA,0,1,0,0,0,0,0,0,2,
MUCUGE,0,0,0,0,0,0,0,0,0,
MUCURI,0,11,0,0,0,0,0,1,1,
MULUNGU DO MORRO,0,2,0,0,0,0,0,0,3,
MUNDO NOVO,0,2,1,0,0,0,0,6,9,
MUNIZ FERREIRA,0,2,0,0,0,0,0,2,0,
MUQUEM DE SAO FRANCISCO,0,2,0,0,0,0,0,0,1,
MURITIBA,0,3,0,0,0,0,0,0,0,
MUTUIPE,0,1,0,0,0,0,0,2,9,
NAZARE,0,2,0,0,0,0,0,0,1,
NILO PEÇANHA,0,4,0,0,0,0,0,0,1,
NORDESTINA,0,3,0,0,0,0,0,2,0,
NOVA CANAA,0,0,0,0,0,0,0,3,3,
NOVA FATIMA,0,4,0,0,0,0,0,0,2,
NOVA IBIA,0,0,0,0,0,0,1,0,1,
NOVA ITARANA,0,1,1,0,0,0,0,0,1,
NOVA REDENÇAO,0,0,0,0,0,0,0,0,1,
NOVA SOURE,0,6,0,0,0,0,0,1,7,
NOVA VIÇOSA,0,22,0,0,0,0,0,8,11,
NOVO HORIZONTE,0,0,0,0,0,0,0,1,2,
NOVO TRIUNFO,0,1,0,0,0,0,0,0,1,
OLINDINA,0,4,0,0,0,0,0,8,6,
OLIVEIRA DOS BREJINHOS,0,1,0,0,0,0,0,1,4,
OURIÇANGAS,0,0,0,0,0,0,0,0,2,
OUROLANDIA,0,1,0,0,0,0,0,0,0,
PALMAS DE MONTE ALTO,0,1,0,0,0,0,0,1,6,
PALMEIRAS,0,2,0,0,0,0,0,1,0,
PARAMIRIM,0,0,0,0,0,0,0,2,0,
PARATINGA,0,1,0,0,0,0,0,0,0,
PARIPIRANGA,0,1,0,0,0,0,0,0,5,
PAU BRASIL,0,6,2,0,0,0,0,2,2,
PAULO AFONSO,3,22,0,0,2,1,0,15,46,
PE DE SERRA,0,0,0,0,0,0,0,1,1,
PEDRAO,0,0,0,0,0,0,0,3,1,
PEDRO ALEXANDRE,0,5,0,0,0,0,0,0,2,
PIATA,0,0,0,0,0,0,0,1,0,
PILAO ARCADO,0,1,0,0,0,0,0,1,3,
PINDAI,0,6,0,0,0,0,0,4,2,
PINDOBAÇU,0,4,0,0,0,0,0,4,2,
PINTADAS,0,1,0,0,0,0,0,2,1,
PIRAI DO NORTE,0,2,0,0,0,0,0,0,4,
PIRIPA,0,0,0,0,0,0,0,1,0,
PIRITIBA,0,6,0,0,0,0,0,3,1,
PLANALTINO,0,0,0,0,0,0,0,0,3,
PLANALTO,0,5,0,0,0,0,0,3,5,
POJUCA,0,13,0,0,0,0,0,2,10,
PONTO NOVO,0,5,0,0,0,0,0,2,1,
PORTO SEGURO,1,29,0,0,0,3,0,22,39,
POTIRAGUA,0,1,0,0,0,0,0,0,2,
POÇÕES,3,4,0,0,0,1,0,3,8,
PRADO,0,14,0,0,0,0,0,7,21,
PRESIDENTE DUTRA,1,0,0,0,0,0,0,0,0,
PRESIDENTE JANIO QUADROS,0,0,0,0,0,0,0,1,0,
PRESIDENTE TANCREDO,1,5,0,0,0,0,1,1,0,
QUEIMADAS,0,3,0,0,0,0,0,6,0,
QUIJINGUE,0,2,0,0,0,0,0,0,0,
QUIXABEIRA,0,3,0,0,0,0,0,1,3,
RAFAEL JAMBEIRO,0,5,0,0,0,0,0,3,0,
REMANSO,0,4,0,0,0,0,0,4,11,
RETIROLANDIA,0,4,0,0,0,0,0,2,0,
RIACHAO DAS NEVES,0,10,0,0,0,0,0,0,0,
RIACHAO DO JACUIPE,0,9,0,0,0,0,0,3,3,
RIACHO DE SANTANA,0,2,0,0,0,0,0,2,3,
RIBEIRA DO AMPARO,0,3,0,0,0,0,0,5,2,
RIBEIRA DO POMBAL,0,3,1,0,0,0,0,5,2,
RIBEIRAO DO LARGO,0,1,0,0,0,0,0,2,4,
RIO DE CONTAS,0,0,0,0,0,0,0,0,2,
RIO DO ANTONIO,0,0,0,0,0,0,0,1,3,
RIO DO PIRES,0,0,0,0,0,0,0,1,2,
RIO REAL,0,15,0,0,0,0,0,16,19,
RODELAS,0,0,0,0,0,0,0,5,4,
RUY BARBOSA,1,3,0,0,0,0,0,4,12,
